"Land Use","Area (in thousands) (ha)","Percentage",""
"Total geographical area","0148","NA",""
"Reporting area for land utilization","0147","0100.00",""
"Forests","0001","0000.68",""
"Not available for cultivation","0092","0062.59",""
"Permanent pastures and other grazing lands","0000","0000.00",""
"Land under misc. tree crops and groves","0001","0000.68",""
"Culturable wasteland","0010","0006.80",""
"Fallow lands other than current fallows","0008","0005.44",""
"Current fallows","0012","0008.16",""
